summonerName,summonerId,puuId
MID Lava,TwFPBrHOXHu2g1k-ihYfe1jGURxVjq4aSaxXaxOJs_6FQyuAFNXnPR5pxw,6sbZN3ieXKGS65SdldA1cCzOs8Xc1twt6IttYEbxxXy8hXpBYxYkI4HIYNPXgTHb-dn7I52m5rBe7Q
바람부는언덕위에,H_Izg2jEg84m_rZ0hI5WWjZiwSLJLGrP4DAIYUlqbvt4_HnT0Iv1KDSqkQ,CUj_tFMTHJQtS6v1K4xVb2evzxb9s39KTxWZBXhm-mxAzI-u_nNHXuyUvXRm_G_xolcsWDGGwxUnvQ
Shadow 1234,a8WZdTxkWyJwjRwDmsONVzsmbBji76w6sV8IZV-8lBt7EKw06GZDdk_LwQ,mgDLdeZ5GDlBRB1EaxiBhy7OB4SUxzXKWdmLVzmRlkv-mA4j4OSmLVv_pOZJ0WxHalR8z7NT-qD6-g
qiu ni jiu wo,exgujhCcJ1q_QSdiVurP9RXSBess1fLbdw26-e_Si667IS-PblOV2iCp_g,BipcSrevyP5kJTpDAXLBAiGyld3OBrw-qu-KbvY6Uybfzat4h5WUihGmCfwsg_CLeRoNCje1VraaHg
DreammaerD,fVQx92jIXB2LeO3-Nv3ORY3VXXUioVJK6y8N7uQd_aEbPns,X3wUA9tH-sC3bJyVrPvzJAUvc_6gPbONpx0nutVZ1WSbgHiSVUtaqmwS0t7qDxc91HmEfG_HXrI3YQ
존중겸손아닥집중,JTe6JXIoZJ0sFajKVvhdwWUM9nA6B8SYhQf025ZG0L0s9w,J7TzwklZYoqxBTMeZgsAFDJ3C4Wysvxcewc2yhI6cGRGrisDLxn0AL7OWg6N1vJM7BbFpSatp9BCfQ
hxqeyff,_AqH9iwnDueaq9QJOrEas1cd6F2ynNPMzSUgq7ZVZcfPVTz9sCxu9QgNkw,gyToPwW1CasRY_sQjA3KP-DTH6hyz89_fjn78gL7PxcYHTf_hXd8ObHRgBvidtG09EXfH5e7MGKs-Q
luck game1,DEOymlyDLuALp2H_CT96-XpCSaUX3v3p-BEGTrBbTzgWdYaYjjP9DkxarQ,HOUHSvS2-NR4ofGdZUwcswvTr0EYeyIfMHtAZkT-OLmBPvqKDEGN7N5U4a5zBUgGdXAlvf7dTQcW0A
peach1119,PhQrODkzMpFOVSQAezsJUcZAUYF0mfh9dSK97A0QOlPLzNY,PKTlFR7ZTa2M24ehwasKnjTNstbw1aknCRjDS3oq0ildmEXNE0xnuXTVviOy7e1PUaYI_lMViGeXCA
hans sama in kr,t6SlN8sAm89SdZK87cGlQEHoUtR6RQcfXujY0uXmlMMqA7nOp3AHPHl1tg,X7iZQKnDYeMdVUK9czOZ_jXvGMNvEFdHFLxZeAtQ1NCVoqnpHsAR8ZQLEiYkGOA16LzHxJunRR1puw
이렐아칼리,TiWXu8-rXJ0xVs4nWUkm3edf0RFlc8ykqNyP9qRRZhXDtRI,5rTyhkKRJXBg0F70pYsekEyOfgoX2psWRSNGErbqLmMrmj_5gzsyFGNsl1uGxqWri7xTtsgdbiQW7w
wjatnsupup,3oxRNm-IfJR44nxgAQ7G-aQoosYB1vWL1kJ10FY3l36Zi0E,Ew-gJGf4420gnVX2fqO6s0FyimR9sZSpwJWe99AZsXyQpSb6Ye8f35PYAXgwKg2-11tNX3BDs5dDaA
beichuan,ERiG92imk58-YwP38lvv3WA4PZqGtF2yfV7F4CxuyKn81IopZqJSmA3H6w,0LYcR7h2mTfYUOIgBlh6xf9XwEfr0aGTc_y2bzOKNkTgRQs7k2v0O4NPA3Y0Y4TUE9yS3C3djjN58w
DK Pullbae,KT-pdUdpwQATtD_scpQjUkDCVGw_tfe2S-H0eJRh_-SrpokD,UWpwRP46J6VdNnFf_aKF3WqQ4kyhkUdBE-BahPIWp9Cliode4EGtbvGuXh5DjxH7jGxNAuHbSU1Wxg
징징문,SL1yaTqB438q0WTFWEWdIN8zmTd-tL5l22iJnUunHtiqU4Q,c2MIfedC_2ZEjpzEuXrTBvbyx_7ND6rX3jugss6QE-gp9dEDrzir-Bv9ejXKZ7sOGfTO7cUZxWBNQA
관 모,XXcHb_7mRBRV0PbIJgMVeRur_OQH5eKgdUemj8PbinYvR3A,ilfJORLXjJWzJZ4bFCxC-FhFVYYq-d2L69VgLBm0tMnngqf3iKU2eG4tSkR9bgeehNdr_g8lGwZ3-w
은가뉴,bx-Vg4c-4MhLZrc0DlnoW_6KsEXBEgqUvC0X8qs4ZQwVFk0,xDIVVYFrztJSKtGt_mzl3AhA51dfi2WtE5k3br30a6CkreK8UIXYEOfcUbKMaVj_wdvFjwyWeGqKFg
Sangchu,EIpWWDvlO7lMfLHNIx733a50W-1kxlLY_zKpBKZQ7QN29SI,yAP-H4DD8lLsFEEt2BHQ_ViIdc_8iR9tGDRN1w-SSUgUq2yUDgZ6RfFXjsSr91_-5Wz_xIQFRWpI1Q
EMENES 1,7KRJeAoigXzF906jQUXNFu4XHnd_eShFWf7MZWCYISfTm9A,eKFT5RTjtLMwTHZ_QF0LCr3gWYyANOwQvNCa1JcYfIb0I72nTr7RXMy0ySaXLxNgdpfboJlwjabQnw
이니쉬,-pZaa4L5ypEJYLAf0JpQaniuwROXloDdNpCxziklKxNsCGM,cEXHtr7YrbnAOHhtVM65nV93d0mZrc_JLTlypaTlIV177cIkpqUpRwz6ecXsoV3lm_QtbLSj6muT-g
Vsta1,sFf6vOK5juHJ2thg73KETaczuLj198dKo4v0_kd7NeTyOw4,aMJ0kc7kqB39yOYgiqEfT9MfV4Pfqmmz8j5lrcwuSWfZCkRdNu3L1FdYq2eA7GEYt8oBs-D6zvo-Og
다없수질,sbk96uPFUQDK-GEWFgT5ndmHhAiDr6DfTFGA03YHBsIsYBw,4rPHjyL47yp_gSnCRNfl0Crim1UpkplY3kO2J-eBgZjovLw-0g3VyJSNhQcFr7536gNM5DFo1WGK6Q
lIlIIIIllllII,2xdy07SA9kJGXRCF0BzFEAn02ZfSJx700-btvodQ5pz1TeY,Nvtm9App537EBvVHRa7m3teI6-g9SKTENu21McKa2GM1EYqZDWhcPMMTV12px4_fOtIlv0Y32AX2Ng
Blackbaby,0bXjbNCiHsT0kfAk1KnsRDn9X7sVoTD1ZHPuzXXNysQOEbTUQvHnXDduiA,USei-Wz9Ouk2-veqWWW9ytn2K5jusePODh41jGTlaczIi9VYYILFcy9D-N9Id2wyhoB1Jhy7ikTxGQ
hhhhbbbb,8ZkpsMn8aMmCC9-mQ8BDH4KNb7rZ_q1l4dsrGrULjyoDZ0s,G4n96gczX3bvSus1bqRrnGkc6fyYUox7lszRygy7jFkOZHXiVMQHiMMh3a4TjzcFlUKUSFX4dVAfFA
small champ pool,OOXMA-QXuNT4VJkuzKEtW4_zFMSL1sSf5aWvmiA5eFCl5tpHaDiQ2gWWMg,H9z-tpC59DkdgKb2tdOx71Rt-0tmKoK4yqhqjwj19vicKmf129N1ShyTPkNjvLwnxbYPTbJIOz0RKw
애디도구른다,9OYSt53MErY0sEvJdXwihaN7s_nJpJ6iesE9taooLpFsBaU,ix0JYJX6CFnXDv70i6IfljmANusl26fI0Pg6iebw8I-zgG_6YTTBke0dHuxyErUUd_ZV4F0qSp0Bpw
대구농민변정현,cJDJGMvfJS97DKEs88erFpp6hqDkxdoW4ZQnmlV82Gt01KQ,nH5qeOkhAPjy34cUqzOAIWz6gQUxot21sGQdimW6gB0LTR6oKH3Pmmja6dNbjLthB1ap-GxVPGLlpQ
찡찡이상민,cknOzXX2k4gvxsXcSzhMXDBlmDJEOtox-vDS5algGxkIdVU,fUew5OpDS3J6I8v-iK8gbacdHvDIPIXlFLZoOdzIP3Sc9uyAoSqJQyJkgtehBfC2v0IAFjN-rqySMg
일산 전영찬,_ofnpxB0kiiXayT9-QNvhch8qrd9YjavoEz2jwxLNU9q32fGG-mY-xbXxg,2abRTTiolyHy3ulPaokPgAl0BpL-L16_a5mHIH4IqXMnyWKV9o9STw9GLJMELfhlKTECynySXGWbpA
Fredit BRION,wUGWvI04tTG46O-CZdwsYkuzSP1uAX7LKaOPqApVH2Yz-Co,biq_Z6eMYxnzSbeh7j8m_Us3d9odZAdHZrhg9pi9rtEgILoQRnxFy_4wHjyYAEW1nFBzc3tXdeCIUg
DK Thanatos,SBW3wiUBNBNXvzst52EahWOrmtM27EZAFZipsCAp8eDmX4wt,RHLdbaIdXsJ_ruZrTtOySSOZrSJNvx0N3P1V68VezvqaKHCxy5jREynLildk6MrCtemwsfPLUJx9Qw
qweqweqwerdf,tPOG_xzbryQ0d6kkD5GLtjllmTSDFNULsCQ5kY-DOINRSLGyTmRLOiC1UQ,ixyXy-SnlRihNwgdCKeybaVhp8o1_pUZ-2C1BvbC4CCi1fmN2HotqbCZUGBV72Rf2q1XIhZDof78Lw
dia hermoso,wkvpoBfPMUZuTpHsm8ielzkjPgMKjeXkLdQuO0Uo6QtgptE,8WKd6NNgAzHcO7td9JZzmZ7uFhvc55nF-AVmZL0XhpD_CCi_-sU_pxdoDP481omdhHiKjxRUPZ0fRw
신을저주해,Uia18HXG1VtO4syNe67NEWhgvOwJCkIpE4aNzwoLRqZrMPl7VyMhI5Gofw,rsFKiQHIWX6jW3T2m351BZ31M8H6WwfSyuteLKJFwZo2MBTy823PbX7GG-_fpFYUYHSpCWtd0kLgbQ
어쩌라고맞짱뜰까,3CzBkPXIuZ2YFt0kobmhoa19HyGSOuPL1sq7q4x3qDArFPg,fGFLbY2QfVQ04JqjAOhj9SoUqeKyJXBlQ6TF6u2Hdth2swOo562qg5KG24DUCUWr2MJ3JwDXJ_klOg
허 빙,1dyu9brJff0CzWjr_VLJtAR51Fzyc_nKd1hMGsjhbRGCTSRV,21W0Neoy57VRiW0C1HnKrNFpR5N_YInPeOtYMhc5f_HJIkDbR5Xr1mbBZdwWdnrleR-daBjQPx_3Tg
Shadow Nia,sR6RXNUos3_Eh_gujPSZD8b1Iyt3kBsE3oDzKUAMYtBb_QU,6fjzyY24LCcJqu5bnzWKgt-PJ-f9rCFx-mzHYK3FVAdSGFrppY2ttJh44L_YZ5a9YB4qpp1liYD3jA
Erilia,GJXoYUcdsR7Zu2uPdVpSyTLbpvikdpCfBqp70c9xFzPeMQ5oHMeoEgMfDg,PXMzCJDqZWM8ng-vfydeDHQafpHhmjKcTlHlTSoRzcy5xQ3u1FCs9fjkfWNk2V5pqmgbJglIFJKozA
호잇이,SbXTWAei_aRarhLUj14oDgYCAStn4ajo0tOrhZ6biYQBY1o,21FHndBjf4EXYs0ukaJDImqR2ZUKkbanvFFuXUCS4h0BxEYEK8Ic9Hnw17fX8pKNYp1G1ReaUPhtUQ
shen li ning hua,MdBoySDEmB-HGGbadOEa5iksIffzFuEdju-_81Z8x2ZHR1xl6cj-3e_gzA,Vq1Lot4txd2QHmlSj5C-ndw2VHyymjDgkuqoLg4HakshFzUmiYBtxE4pWF_k56XGCUy1ZK6xBIJfLA
GHJVGFJG,BfgnWvxe_p3hsTwpcRZTMVeaUHLgIS-emGicKZZZVg1nb-4PULoVqUHnIg,KtQzMSBtUHtS0SpV6v7lt4mmpxlG894P8oTZJOsQJhQLaySdVC57IPcobTgFoV7q8UHSRpL6Q24MLQ
연애꽃1,FFFg4rDQ9T78ffWXfn1mEDforRkpMDHUnPYSuGj7HwfPbsjYO5VZPEmAUg,pth_SjZ0uU1ZMleJSCBY15OTWofBWvL_cmh7jKQ_n1sEU6PVpxAJX6knIY6qlwYS9ZCyoxMvygSTmA
케이티 기리,AJypFkb-nUFZcyNdrdi3RzlRYmV_bNnp9F1tF-7gVaCpWHo,G3jxwRwRv7b-0d4nt0a4b7PaPrXW09l2J66vBmmXTV8QGNJsPNdbXDSHxvOwFjpRO-FRowuA2nUZ_g
쭌 베,3twjaas4xZvPbXUwhAqu4xWrs_9oCITqZXPOTD3nHDM_PgE,mwcZ_tPpgqn-WjObD8zV3Ebzhzz8iU6wT8VczJ0zgo83lnWFVoHsGrSjczez0qUvZLu7dS7YD1jZJw
Like 1999,c6IcfpqiOg7JWo1WMZ9GbGpiam3XdUPPoMiTf1GV9opldJUH4OI9KxPNFw,0ssEdoPi8LdmdA73swkxOm7VH3jPB3KQYzdWk6ka_d3UmhdKAp5FSu9RXSQbPUVktCSy6N38CX41_w
분 과,AN9dRx9DkuoMNI6I6PWG9OVI2wCzLQ5MMmMCSUntLtMTuI8glQi63LbvXQ,EqidJYNStjEQVo0pbewiIwG3ukZydtxrrTyyiCszYwej0n0z7bfb_tpOq50Ar1eRQpNePvlrgCyUKQ
변정현 굉장하다,afvm4wUlc4mYE6diNKkxfNDInFw3P8dZXA_d8FBuObXeuiID,kF0KvveDLMfsM8yH7HV6Cv-bOIbTDE96mM4bgxotP7GTzhnVZ1KevLXD33kMN9zbuoP7wRGiP5fMKQ
KT VicLa,dBHHIFakr4MG5r0Q5DEQ5HZxkVyXicaatR8R9-xtxaLVODQ,KyR6vMEhB33op_y64kdWjjux_Y0c78K5oVfBByO5tdlZC8Fv9UI2a9XM9fSQpXV95f70n0jjmWqxRg
이 차가 식기전에,MqRhMKYBwf-T1LDuTKs6CrKPQmjHHnY2Y4dL4OAxUZZqrfA,ezBY4K8MKepW-yfgOWO2yr0jkVKukHFKN9_xSvc5KdDcPzCFlnjLqXPyJKgjZ_MAniAMDBcZK64UfA
시간의 숲,7FG0KEnQbKA1AeLYEe2jgd6xqBvtkSqu4MiR0CX9x2J7t4U,YCIuUmXEArmgjdzVSNx4wquQbSkF5dQBlq_6TH2_M6R_7YE7GJye3cASTz5QDLChbKqIVy_Fw0bwqQ
아 좀 맛없네,J9_5WaaJuMQk2SzRUVFgDDYBPdONKhd4F04Ymm4havQMv2k,jFwZmVCc-RPnsR57yqni4umkcXfIoRdWMyHdESMUFdGAn9tcWjdEPbt-MZwknJeOp0k4bHP_hRlU-Q
해가지면달이핀다,DpPTvtVVhu1acmkhsZ-ml3zUwooAN49ONBhBagMPrH768lM,uB10SOsCweQa47K4xZzxNgvG6S_Ye0rgGRUSkHE6HVMbE_IWnRrjuBh_4VcI08zefZqf0HuL3YVhxg
cbmjtjljppajk,cJZfXJvCkfHpKFtieMMQPnig8wGhaPCWl_DIlsRZ2N8Y6Id7gMfRinM11g,EBTHEWehT4dGXfhh-w8cwUO-_qeSnBTf4gIwns86fcfHYgaiWZs8ENL1Rm6jLCdiRwWo0ez1p2vNcg
KT Castle,L6vrQpdJkcotCQhhrccm7O1OuP0_DeX8jUBp-Vj7R9HuKEw,kGIcYQ_w_0Myyrdc_lFssiIWelyDQXa8iDRV309CEsNi1n_jLnZ9BHdUdHNSYGHEhKj0VoIR67ykEg
프로연락친추주셍,G0fiL_WvWk_NJrK__R1rPkDzOINB6WM9A0OlqkJWdfG1AMA,pKQDvGIoJ4G23dCw7M0AQQG0j9nBdvh2KTOO1TtusEkPKBBNfXyAJ_d8LrZq8AY3TVaqjbAmg4Gb9A
렐서폿,y7x2DImDbAzuq6C3BxWV56J82pVUiwrvNHoVyALMmouJ2NE,QNs7T83RpSaf656Wop_qQyt6f0EamGS9zmZYh7k-UeWq2yzZ1QQPPJYkV_KrOLFkEQK9pc7566Jw6g
도구는 툴툴,CMUaIsNn0yQWWqPMxqX2r1KaiXOKBVkKi2zMPOrJ14-q2Xo,XxwFc2fhH8dSJyASpfAHIaSfK77i5L7EYT8pvktyD9uQCVuOWCI0DnecqfOR0SIwG07yT6yR3i3z9g
T1 포레스트,1nH53aZGMspBIZNa1lp2WXkqJyNZZR00Xqt2VoIMxHXc5xg,Kr6U_nw7y0n8g73-aDXaJZumqRg4m1sRS2NZgSmQr6xLyDPCozE-P81KOjM8iKd-s7PQSMCtjoMfjw
전설의롤1234,qq06ukbEnneEhYAaYyLx0gCXSmiLtwa4SMVrJwqLgRsRmAw,O53GGJWXF81Fq3cvpK0nnsLQk0H0AZF8dzG6n-5RRATCxG_488hNvbTu5-1CwprdqtuYx-8ks7KnTw
Every Sec0nd,Ix2QAW_W0aMaF5fpb0AHTeORR4ISDZUXoZ_1vXchWYTyArI,0kp3pUfW-gWyVeVm7PFVtiXq5IKQjFoNvgcdGjLCqSx-Jg3Ht2kEdJirTR_f_Hl7EXE7xJVMzvokuA
QingQingQing,S07yTa-5Po2XXk20FktAbJ-SYGnvUZj6f161Fp4D1D95x8Wa1MDhGAUL_Q,V1o9aSEmxtsysAH3pspqQV00k3RTpsKFUKOzWvKuDxceRyOt4j_euRhyD8Zh82gHCKYbo1jKWfP9LA
ddoobb,vbdQJLv_erjHa0g13WhYMU_tEEQ7CQ8vkLF2Lj6-Rs7G7g,FtTZO9sbB-4wTzuo9vTLhtgkTrPw-ptxFprn_vqGKjsNOtVILi43bPZLwzPJotvMg657sy9SOrx6tA
재훈이의모함,ea7QqdDrlU9Ewo0ZV0RuKz7Fdp1juK8M2W6xWPb08ul73xMs9hJLChRDHQ,F03XER0PVHqLKWCybvYKueDxraviGmrgNYcdpdiVxV4yIpwmRoO-m88McIS32UbGtGd5AAGeugJQ6Q
insuleixun,KBzkwkk1Oz8693EOhbIL0hU7BmJL3P_W7QMoil_nQ6tpDwj1VSZ6U0_bCw,y-cK6xs5y4q894hAEj3zZi7n7AHLxF2RuSHPrgA9LU2fFWFqm1kY9O9LlAHZxBtcFg-0frZiJgg9eA
rewkfopdsfk,S4nDoqTnLRdiDTdNM3cb_4rRGDBE1To7PeHnrqBMehqW_W8-QFMWV53XjA,_Ychl7qZn--KtGMSPXbf3dYnsvSqzhHIa2j6ySmbCJTqMMQTxnsML_Bfd6Fxe021vq1pNY46gzG5fA
초바 모자,C_1CD0aAVaKrlC9FAAMuS_ZRPWSpFy3kmWwu-Oja31vCMzkRbXrsAIV7ug,pPlTME5LVkY60nVnYOUldogypBJS8tIoGboATD9Tqd-mkLPXHD1kEaHyihD5TZqk9V8c-8x9fOaq9A
zhouyudagougou,xKbyqJqEGbOL90yhyEJEMVpJBtp1S0yh3F-koKYgWPXN_9w,AhoSGBKTQN9WC2Vpw09lvff4ETj4mG8lx_7FmaoVSLO7kHGE5Gsj91s7pHHWLnm7iH9nwsszC3c9LA
See u tonight,F7uFM6nJiCqz4YWmk3REgVHb5UoNAT6etOLhMt8GVI3XpV99WWck08r82A,MMssyMfA24tIJhPilm1-uQazH95Zp-fNcBZcs7HZDDmoVIVAA5jSMzDddqYweLATm5DAqVp74zsucA
fragiIe,oP0PgQY-xBeszt7ZT0fLJs6hl1LV2Z5TdnpAq4HzH2WkhQE,UdP8UPR74RlOnhHTjpKW3juc8sWaYzf4--ZGvs8TTY8Ha4NCxREhU05S_7QwTCDo3UdWwH_QTRWUEw
미키주일용락wc,yFebg1lD4JWQEKgucyhpR2flRWUw63MgAssjwsXyxP1ksjE,xHYXLJbt_fOSnIRSBmhe9aG2SIi05C9R-hQk2nqHebSq9tAM4H5Pp4k3-sg9OJ1JUygCUreV4TICTw
뚤기행동,4KxfC78l7ZcsBmAEd-KU8mGwdPcoU8aVRnfPxXJ5rNIJCRpbsRq3u7DUug,ph_mDQ6Ce8m9fSlxgzZQi6VexDomwnGiXRnCMMGjuzUOQZT6CBypM0a32m5bT59MrwWQ-cZI6mM-rg
젠지 아키아,MjjvZ1bdLjCs4g_R2XTzRJUh-NiatL0CngENh-Fv_IgqIzD0,ke7rv9FBzM_DuXRtGYvlM94rKUgiAOf6tUppQ6OzOKIgvLV5RoJ6Hgd4qLa2avdQGTUNfCVQZUgj_Q
김민교 수제자,HBV3Ro-E49E_jKgPBC7lyox2bHxThA90JxlJ4wu3aZWptZ1Y9-nh7aEhRw,ggWp1c1KTFPtS99fF1yHS3uDJpD8lJbmcYRi5eLFKG6aNUORWeMlZrKclepbgTIVv2lZC-FGQie7Xg
xxiaohao,cKUxBOYWwmZMMHihdPu9FVTWbN2dl4EtDEy-m9unKOBQc6cFyOxyuJnnbA,Yhv0o5YJXlJ3qFUaLdA_bIYFGQp4NP_-n_sW7kLxeV77U33q9h2HyDgNRFtFJY_Jj1eNP-B9fYEWNw
울부짖는마오카이,n_5Z8tWypsgqVfp5-nON7XeS4wtW2w23XrROMCAAztd1iYAU6nMPyDv17w,r4n0mHHPemx-r0e81bQ4LY4Thlb-OEdbRK1zrCwyYRws4lV0a9239up3P7va_mf2CeEh6eQG3eHqBQ
Quad,CHRx449nK6pzidbftdnSsEjqpDS7kOO-cffxqeTvxWhuHaA,5InzTeyEQQatSOuAoivWOP9iIAu_TsaKblGYCksksE9pyLxTMkxuBLWlB0-JDVeddJkNYNGaxiOaKQ
020814ix45,UH8SAQBju72aITnRe2A4ICH7eGqda51DHnZ5lnKlmcrzQhr8MZc8IETgxA,8w8tcv9M5L7hEuRtSpG1c2vJUxwTxH7JOZ5ttUS7shgsmIcj5gPQcSTwbbDn7GXQYQxhZ-mFsKDUJA
7I드온,kT60uGFBUk2rzZmaTzq4RBP-1FtI4oh4dkXnRkBh0e9XNF0,IYxv1WwXnw27PiHIuT1tcgTknR-32MLZSGpvprFg1QHNVKAURzrbO74wTOlgBAiXRw6MR6HPsYHFlw
BRO Morgan,D9qKQ11SLPawe_midnckq84cQePTxO5w-BTVA7d0Bb4rX0A,9Psk0MJs0QSkbCGAIm305xIsxR3YasfRH6snCu_n5GuMiJ2gFS5Ad8Nv-MbBYs8Cob_x1jvoBnoj1Q
laji fuzhu,MKyQSmn2Ny0A01l8kYmmILxazzVK-MUcp1woBDOZDxA-P0hkLCnnz5ta_g,T43PUkgTq2AGuivX9GFcL9Cjk7VTf-ecyWruCdnD0S0-v80qb4nMVgVHf8E_HlU0aqPRRb6zLdr3vg
Honpi,yiX95buDIyJ9bFzcEb7VMKln2okFhqc6HEh4GjmUrrrhUrg,0DrALlA4PbuCjUaVLkSW4q0rJlFU2RJo4x-eTtwMaDV-9YcxEE5QsL1XOoXNATF2bT6dku8NsVTLfQ
T1 Smash1,v3qjZibQ825N72tLlIhIHQqap1i64SrJkDaoBfUppJqXrcGk,lWTqZ0uszXqzg7h_qp2eVa05XUOXtxIsENVQIhm7gm2-ijTgL7WahMmcPfZ-BltShFqQyX0I6B7NTQ
